brand,price,car_seller,year,miles,engine_vol,transmission,fuel_type,residuals
Audi,12549.0,Cazoo,2016.0,41233.0,1.6,manual,diesel,597.757087384889
Audi,14150.0,BMWorld,2018.0,51287.0,1.4,manual,petrol,
Audi,14998.0,C&C,2016.0,46718.0,1.6,manual,diesel,3048.9557717364078
Audi,15449.0,Cannock,2016.0,27301.0,1.4,automatic,petrol,-656.8611728105898
Audi,15998.0,C&C,2018.0,35019.0,1.4,manual,petrol,
Audi,16498.0,C&C,2018.0,12773.0,1.4,manual,petrol,
Audi,17600.0,BMWorld,2018.0,9684.0,1.4,manual,petrol,-1511.4896479256167
Audi,24049.0,Cazoo,2021.0,19265.0,1.5,automatic,petrol,-3308.7446381485024
Audi,25049.0,Cazoo,2021.0,4578.0,1.0,manual,petrol,3192.8790765313497
Audi,11550.0,Hilton,2015.0,35000.0,1.4,manual,petrol,
Audi,11599.0,Cazoo,2015.0,43038.0,1.4,manual,petrol,1904.6838374550007
Audi,11849.0,Cazoo,2015.0,46212.0,1.4,manual,petrol,
Audi,11900.0,Hilton,2015.0,49000.0,1.4,manual,petrol,1858.428306910444
Audi,12000.0,BMWorld,2015.0,38175.0,1.4,manual,petrol,
Audi,13099.0,Cazoo,2017.0,61962.0,1.4,manual,petrol,779.415091369212
Audi,13700.0,BMWorld,2016.0,29726.0,1.4,manual,petrol,543.3125780369883
Audi,13798.0,C&C,2015.0,28888.0,1.4,automatic,petrol,
Audi,16149.0,Cazoo,2017.0,32842.0,1.4,automatic,petrol,-601.2616631715537
Audi,9400.0,Hilton,2013.0,51000.0,1.4,manual,petrol,3771.5931299073636
Audi,10098.0,Cargiant,2015.0,72384.0,1.4,manual,petrol,2553.5169065699465
Audi,10498.0,C&C,2013.0,41234.0,1.4,manual,petrol,4425.328808270024
Audi,11298.0,C&C,2016.0,70829.0,1.6,manual,diesel,
Audi,11649.0,Cazoo,2016.0,57348.0,1.6,manual,diesel,1074.737840559872
Audi,12000.0,Hilton,2015.0,50056.0,1.4,automatic,petrol,106.20462142327051
Audi,12100.0,BMWorld,2016.0,40409.0,1.4,manual,petrol,-143.85556430502038
Audi,12449.0,Cazoo,2018.0,62257.0,1.0,manual,petrol,1884.7907915015057
Audi,12500.0,Marshall,2018.0,54744.0,1.0,manual,petrol,646.9056404570401
Audi,12600.0,Marshall,2017.0,51851.0,1.6,manual,diesel,-1212.0211305116263
Audi,12700.0,Marshall,2017.0,46068.0,1.4,manual,petrol,-1624.602587901145
Audi,12999.0,Cazoo,2016.0,33928.0,1.4,manual,petrol,405.1250742185657
Audi,13049.0,Cazoo,2017.0,39794.0,1.4,manual,petrol,-1164.7772348095623
Audi,13099.0,Cazoo,2018.0,39046.0,1.0,manual,petrol,551.4770923426659
Audi,13200.0,BMWorld,2016.0,20489.0,1.4,manual,petrol,-745.9627069201524
Audi,13299.0,Castle_Donington,2016.0,44490.0,1.4,manual,petrol,824.0834631366452
